FED_NUM,FED_name,CSD,region,isSuburb,prevParty,curParty,isFlipped
10001.0,Avalon,,,False,lib,lib,False
10002.0,Cape Spear,,,False,lib,lib,False
10003.0,Central Newfoundland,,,False,con,con,False
10004.0,Labrador,,,False,lib,lib,False
10005.0,Long Range Mountains,,,False,lib,con,True
10006.0,St. John's East,,,False,lib,lib,False
10007.0,Terra Nova—The Peninsulas,,,False,lib,lib,False
11001.0,Cardigan,,,False,lib,lib,False
11002.0,Charlottetown,,,False,lib,lib,False
11003.0,Egmont,,,False,lib,lib,False
11004.0,Malpeque,,,False,lib,lib,False
12001.0,Acadie—Annapolis,,,False,con,con,False
12002.0,Cape Breton—Canso—Antigonish,,,False,lib,lib,False
12003.0,Central Nova,,,False,lib,lib,False
12004.0,Cumberland—Colchester,,,False,con,lib,True
12005.0,Dartmouth—Cole Harbour,Halifax,Halifax,False,lib,lib,False
12006.0,Halifax,Halifax,Halifax,False,lib,lib,False
12007.0,Halifax West,Halifax,Halifax,False,lib,lib,False
12008.0,Kings—Hants,,,False,lib,lib,False
12009.0,Sackville—Bedford—Preston,Halifax,Halifax,False,lib,lib,False
12010.0,South Shore—St. Margarets,,,False,con,lib,True
12011.0,Sydney—Glace Bay,,,False,lib,lib,False
13001.0,Acadie—Bathurst,,,False,lib,lib,False
13002.0,Beauséjour,,,False,lib,lib,False
13003.0,Fredericton—Oromocto,,,False,lib,lib,False
13004.0,Fundy Royal,,,False,con,con,False
13005.0,Madawaska—Restigouche,,,False,lib,lib,False
13006.0,Miramichi—Grand Lake,,,False,con,con,False
13007.0,Moncton—Dieppe,,,False,lib,lib,False
13008.0,Saint John—Kennebecasis,,,False,lib,lib,False
13009.0,Saint John—St. Croix,,,False,con,con,False
13010.0,Tobique—Mactaquac,,,False,con,con,False
24001.0,Abitibi—Baie-James—Nunavik—Eeyou,,,False,bloc,lib,True
24002.0,Abitibi—Témiscamingue,,,False,bloc,bloc,False
24003.0,Ahuntsic-Cartierville,Island of Montreal,Greater Montreal,False,lib,lib,False
24004.0,Alfred-Pellan,Laval,Greater Montreal,True,lib,lib,False
24005.0,Argenteuil—La Petite-Nation,,,False,lib,lib,False
24006.0,Beauce,,,False,con,con,False
24007.0,Beauharnois—Salaberry—Soulanges—Huntingdon,,,False,bloc,bloc,False
24008.0,Beauport—Limoilou,Quebec City,Quebec City,False,bloc,lib,True
24009.0,Bécancour—Nicolet—Saurel—Alnôbak,,,False,bloc,bloc,False
24010.0,Bellechasse—Les Etchemins—Lévis,,,False,con,con,False
24011.0,Beloeil—Chambly,,Greater Montreal,True,bloc,bloc,False
24012.0,Berthier—Maskinongé,,,False,bloc,bloc,False
24013.0,Bourassa,Island of Montreal,Greater Montreal,False,lib,lib,False
24014.0,Brome—Missisquoi,,,False,lib,lib,False
24015.0,Brossard—Saint-Lambert,Brossard,Greater Montreal,True,lib,lib,False
24016.0,Charlesbourg—Haute-Saint-Charles,Quebec City,Quebec City,False,con,con,False
24017.0,Châteauguay—Les Jardins-de-Napierville,,,False,bloc,lib,True
24018.0,Chicoutimi—Le Fjord,,,False,con,con,False
24019.0,Compton—Stanstead,,,False,lib,lib,False
24020.0,Côte-du-Sud—Rivière-du-Loup—Kataskomiq—Témiscouata,,,False,con,con,False
24021.0,Côte-Nord—Kawawachikamach—Nitassinan,,,False,bloc,bloc,False
24022.0,Dorval—Lachine—LaSalle,Island of Montreal,Greater Montreal,False,lib,lib,False
24023.0,Drummond,,,False,bloc,bloc,False
24024.0,Gaspésie—Les Îles-de-la-Madeleine—Listuguj,,,False,bloc,bloc,False
24025.0,Gatineau,,,False,lib,lib,False
24026.0,Hochelaga—Rosemont-Est,Island of Montreal,Greater Montreal,False,lib,lib,False
24027.0,Honoré-Mercier,Island of Montreal,Greater Montreal,False,lib,lib,False
24028.0,Hull—Aylmer,,,False,lib,lib,False
24029.0,Joliette—Manawan,,,False,bloc,bloc,False
24030.0,Jonquière,,,False,bloc,bloc,False
24031.0,La Pointe-de-l'Île,Island of Montreal,Greater Montreal,False,bloc,bloc,False
24032.0,La Prairie—Atateken,,Greater Montreal,True,bloc,lib,True
24033.0,Lac-Saint-Jean,,,False,bloc,bloc,False
24034.0,Lac-Saint-Louis,Island of Montreal,Greater Montreal,False,lib,lib,False
24035.0,LaSalle—Émard—Verdun,Island of Montreal,Greater Montreal,False,lib,lib,False
24036.0,Laurentides—Labelle,,,False,bloc,bloc,False
24037.0,Laurier—Sainte-Marie,Island of Montreal,Greater Montreal,False,lib,lib,False
24038.0,Laval—Les Îles,Laval,Greater Montreal,True,lib,lib,False
24039.0,Les Pays-d'en-Haut,,,False,bloc,lib,True
24040.0,Lévis—Lotbinière,,Quebec City,False,con,con,False
24041.0,Longueuil—Charles-LeMoyne,Longueuil,Greater Montreal,True,lib,lib,False
24042.0,Longueuil—Saint-Hubert,Longueuil,Greater Montreal,True,bloc,lib,True
24043.0,Louis-Hébert,Quebec City,Quebec City,False,lib,lib,False
24044.0,Louis-Saint-Laurent—Akiawenhrahk,Quebec City,Quebec City,False,con,con,False
24045.0,Marc-Aurèle-Fortin,Laval,Greater Montreal,True,lib,lib,False
24046.0,Mégantic—L'Érable—Lotbinière,,,False,con,con,False
24047.0,Mirabel,Mirabel,Greater Montreal,True,bloc,bloc,False
24048.0,Mount Royal,Island of Montreal,Greater Montreal,False,lib,lib,False
24049.0,Mont-Saint-Bruno—L'Acadie,,Greater Montreal,True,bloc,lib,True
24050.0,Montcalm,,,False,bloc,bloc,False
24051.0,Montmorency—Charlevoix,,,False,bloc,con,True
24052.0,Notre-Dame-de-Grâce—Westmount,Island of Montreal,Greater Montreal,False,lib,lib,False
24053.0,Outremont,Island of Montreal,Greater Montreal,False,lib,lib,False
24054.0,Papineau,Island of Montreal,Greater Montreal,False,lib,lib,False
24055.0,Pierre-Boucher—Les Patriotes—Verchères,,,False,bloc,bloc,False
24056.0,Pierrefonds—Dollard,Island of Montreal,Greater Montreal,False,lib,lib,False
24057.0,Pontiac—Kitigan Zibi,,,False,lib,lib,False
24058.0,Portneuf—Jacques-Cartier,,,False,con,con,False
24059.0,Québec Centre,Quebec City,Quebec City,False,lib,lib,False
24060.0,Repentigny,L'Assomption,Greater Montreal,True,bloc,bloc,False
24061.0,Richmond—Arthabaska,,,False,con,con,False
24062.0,Rimouski—La Matapédia,,,False,bloc,bloc,False
24063.0,Rivière-des-Mille-Îles,Saint-Eustache,Greater Montreal,True,bloc,lib,True
24064.0,Rivière-du-Nord,,Greater Montreal,True,bloc,bloc,False
24065.0,Rosemont—La Petite-Patrie,Island of Montreal,Greater Montreal,False,ndp,ndp,False
24066.0,Saint-Hyacinthe—Bagot—Acton,,,False,bloc,bloc,False
24067.0,Saint-Jean,,,False,bloc,bloc,False
24068.0,Saint-Laurent,Island of Montreal,Greater Montreal,False,lib,lib,False
24069.0,Saint-Léonard—Saint-Michel,Island of Montreal,Greater Montreal,False,lib,lib,False
24070.0,Saint-Maurice—Champlain,,,False,lib,lib,False
24071.0,Shefford,,,False,bloc,bloc,False
24072.0,Sherbrooke,,,False,lib,lib,False
24073.0,Terrebonne,Terrebonne,Greater Montreal,True,bloc,bloc,False
24074.0,Thérèse-De Blainville,Blainville,Greater Montreal,True,bloc,lib,True
24075.0,Trois-Rivières,,,False,bloc,lib,True
24076.0,Vaudreuil,,Greater Montreal,True,lib,lib,False
24077.0,Ville-Marie—Le Sud-Ouest—Île-des-Sœurs,Island of Montreal,Greater Montreal,False,lib,lib,False
24078.0,Vimy,Laval,Greater Montreal,True,lib,lib,False
35001.0,Ajax,Ajax,Greater Toronto Area,True,lib,lib,False
35002.0,Algonquin—Renfrew—Pembroke,,,False,con,con,False
35003.0,Aurora—Oak Ridges—Richmond Hill,Richmond Hill,Greater Toronto Area,True,lib,con,True
35004.0,Barrie South—Innisfil,,,False,con,con,False
35005.0,Barrie—Springwater—Oro-Medonte,,,False,con,con,False
35006.0,Bay of Quinte,,,False,con,lib,True
35007.0,Beaches—East York,Toronto,Greater Toronto Area,False,lib,lib,False
35008.0,Bowmanville—Oshawa North,Clarington,Greater Toronto Area,True,con,con,False
35009.0,Brampton Centre,Brampton,Greater Toronto Area,True,lib,lib,False
35010.0,Brampton—Chinguacousy Park,Brampton,Greater Toronto Area,True,lib,lib,False
35011.0,Brampton East,Brampton,Greater Toronto Area,True,lib,lib,False
35012.0,Brampton North—Caledon,Caledon,Greater Toronto Area,True,lib,lib,False
35013.0,Brampton South,Brampton,Greater Toronto Area,True,lib,lib,False
35014.0,Brampton West,Brampton,Greater Toronto Area,True,lib,con,True
35015.0,Brantford—Brant South—Six Nations,,,False,con,con,False
35016.0,Bruce—Grey—Owen Sound,,,False,con,con,False
35017.0,Burlington,Burlington,Greater Toronto Area,True,lib,lib,False
35018.0,Burlington North—Milton West,Milton,Greater Toronto Area,True,lib,lib,False
35019.0,Cambridge,,,False,lib,con,True
35020.0,Carleton,Ottawa,Greater Ottawa,False,con,lib,True
35021.0,Chatham-Kent—Leamington,,,False,con,con,False
35022.0,Davenport,Toronto,Greater Toronto Area,False,lib,lib,False
35023.0,Don Valley North,Toronto,Greater Toronto Area,False,lib,lib,False
35024.0,Don Valley West,Toronto,Greater Toronto Area,False,lib,lib,False
35025.0,Dufferin—Caledon,,,False,con,con,False
35026.0,Eglinton—Lawrence,Toronto,Greater Toronto Area,False,lib,lib,False
35027.0,Elgin—St. Thomas—London South,,,False,con,con,False
35028.0,Essex,,,False,con,con,False
35029.0,Etobicoke Centre,Toronto,Greater Toronto Area,False,lib,lib,False
35030.0,Etobicoke—Lakeshore,Toronto,Greater Toronto Area,False,lib,lib,False
35031.0,Etobicoke North,Toronto,Greater Toronto Area,False,lib,lib,False
35032.0,Flamborough—Glanbrook—Brant North,,,False,con,con,False
35033.0,Guelph,,,False,lib,lib,False
35034.0,Haldimand—Norfolk,,,False,con,con,False
35035.0,Haliburton—Kawartha Lakes,,,False,con,con,False
35036.0,Hamilton Centre,,,False,ndp,lib,True
35037.0,Hamilton East—Stoney Creek,,,False,lib,con,True
35038.0,Hamilton Mountain,,,False,lib,lib,False
35039.0,Hamilton West—Ancaster—Dundas,,,False,lib,lib,False
35040.0,Hastings—Lennox and Addington—Tyendinaga,,,False,con,con,False
35041.0,Humber River—Black Creek,Toronto,Greater Toronto Area,False,lib,lib,False
35042.0,Huron—Bruce,,,False,con,con,False
35043.0,Kanata,Ottawa,Greater Ottawa,False,lib,lib,False
35044.0,Kapuskasing—Timmins—Mushkegowuk,,,False,ndp,con,True
35045.0,Kenora—Kiiwetinoong,,,False,con,con,False
35046.0,Kingston and the Islands,,,False,lib,lib,False
35047.0,King—Vaughan,King,Greater Toronto Area,True,con,con,False
35048.0,Kitchener Centre,,,False,grn,con,True
35049.0,Kitchener—Conestoga,,,False,lib,lib,False
35050.0,Kitchener South—Hespeler,,,False,lib,con,True
35051.0,Lanark—Frontenac,,,False,con,con,False
35052.0,Leeds—Grenville—Thousand Islands—Rideau Lakes,,,False,con,con,False
35053.0,London Centre,,,False,lib,lib,False
35054.0,London—Fanshawe,,,False,ndp,con,True
35055.0,London West,,,False,lib,lib,False
35056.0,Markham—Stouffville,Markham,Greater Toronto Area,True,lib,lib,False
35057.0,Markham—Thornhill,Markham,Greater Toronto Area,True,lib,lib,False
35058.0,Markham—Unionville,Markham,Greater Toronto Area,True,lib,con,True
35059.0,Middlesex—London,,,False,con,con,False
35060.0,Milton East—Halton Hills South,Halton Hills,Greater Toronto Area,True,lib,con,True
35061.0,Mississauga Centre,Mississauga,Greater Toronto Area,True,lib,lib,False
35062.0,Mississauga East—Cooksville,Mississauga,Greater Toronto Area,True,lib,lib,False
35063.0,Mississauga—Erin Mills,Mississauga,Greater Toronto Area,True,lib,lib,False
35064.0,Mississauga—Lakeshore,Mississauga,Greater Toronto Area,True,lib,lib,False
35065.0,Mississauga—Malton,Mississauga,Greater Toronto Area,True,lib,lib,False
35066.0,Mississauga—Streetsville,Mississauga,Greater Toronto Area,True,lib,lib,False
35067.0,Nepean,Ottawa,Greater Ottawa,False,lib,lib,False
35068.0,Newmarket—Aurora,Newmarket,Greater Toronto Area,True,lib,con,True
35069.0,New Tecumseth—Gwillimbury,,,False,con,con,False
35070.0,Niagara Falls—Niagara-on-the-Lake,,,False,con,con,False
35071.0,Niagara South,,,False,con,con,False
35072.0,Niagara West,,,False,con,con,False
